[00000000] 1 | 0 7 1 6 2 5 3 4  *Graceful*
[00000000] 1 | 0 7 1 6 2 5 4 3  *Graceful*
[00000000] 1 | 7 0 6 1 5 2 4 3  *Graceful*
[00000000] 1 | 7 0 6 1 5 2 3 4  *Graceful*
[00000000] 1 | 6 0 7 2 3 1 5 4  *Graceful*
[00000000] 1 | 6 0 7 2 3 5 1 2  *Graceful*
[00000000] 1 | 6 0 7 2 3 1 4 5  *Graceful*
[00000000] 1 | 6 0 7 2 3 5 2 1  *Graceful*
[00000000] 1 | 5 0 7 1 2 6 3 4  *Graceful*
[00000000] 1 | 5 0 7 1 2 6 4 3  *Graceful*
[00000000] 1 | 4 0 7 1 6 3 5 2  *Graceful*
[00000000] 1 | 4 0 7 1 6 3 2 5  *Graceful*
[00000000] 1 | 4 0 7 1 6 5 2 3  *Graceful*
[00000000] 1 | 4 0 7 1 6 5 3 2  *Graceful*
[00000000] 1 | 1 7 0 5 4 2 6 5  *Graceful*
[00000000] 1 | 1 7 0 5 4 6 2 3  *Graceful*
[00000000] 1 | 1 7 0 5 4 2 5 6  *Graceful*
[00000000] 1 | 1 7 0 5 4 6 3 2  *Graceful*
[00000000] 1 | 2 7 0 6 5 1 4 3  *Graceful*
[00000000] 1 | 2 7 0 6 5 1 3 4  *Graceful*
[00000000] 1 | 3 7 0 6 1 4 2 5  *Graceful*
[00000000] 1 | 3 7 0 6 1 4 5 2  *Graceful*
[00000000] 1 | 3 7 0 6 1 2 5 4  *Graceful*
[00000000] 1 | 3 7 0 6 1 2 4 5  *Graceful*
[00000000] 1 | 1 6 0 7 3 2 5 4  *Graceful*
[00000000] 1 | 1 6 0 7 3 2 4 5  *Graceful*
[00000000] 1 | 2 6 0 7 2 1 4 3  *Graceful*
[00000000] 1 | 2 6 0 7 2 1 3 4  *Graceful*
[00000000] 1 | 2 4 0 7 1 6 3 5  *Graceful*
[00000000] 1 | 2 4 0 7 1 6 5 3  *Graceful*
[00000000] 1 | 6 1 7 0 4 5 2 3  *Graceful*
[00000000] 1 | 6 1 7 0 4 5 3 2  *Graceful*
[00000000] 1 | 5 1 7 0 5 6 3 4  *Graceful*
[00000000] 1 | 5 1 7 0 5 6 4 3  *Graceful*
[00000000] 1 | 5 3 7 0 6 1 4 2  *Graceful*
[00000000] 1 | 5 3 7 0 6 1 2 4  *Graceful*
[00000000] 1 | 5 1 6 0 7 4 2 3  *Graceful*
[00000000] 1 | 5 1 6 0 7 4 3 2  *Graceful*
[00000000] 1 | 4 1 6 0 7 3 5 2  *Graceful*
[00000000] 1 | 4 1 6 0 7 3 2 5  *Graceful*
[00000000] 1 | 2 6 5 0 7 1 4 3  *Graceful*
[00000000] 1 | 2 6 5 0 7 1 3 4  *Graceful*
[00000000] 1 | 2 5 4 0 7 1 6 3  *Graceful*
[00000000] 1 | 3 5 4 0 7 1 6 4  *Graceful*
[00000000] 1 | 5 3 4 0 7 1 6 4  *Graceful*
[00000000] 1 | 2 4 3 0 7 1 6 5  *Graceful*
[00000000] 1 | 4 2 3 0 7 1 6 5  *Graceful*
[00000000] 1 | 2 5 4 0 7 1 3 6  *Graceful*
[00000000] 1 | 3 5 4 0 7 1 4 6  *Graceful*
[00000000] 1 | 5 3 4 0 7 1 4 6  *Graceful*
[00000000] 1 | 2 4 3 0 7 1 5 6  *Graceful*
[00000000] 1 | 4 2 3 0 7 1 5 6  *Graceful*
[00000000] 1 | 2 6 1 7 0 3 5 4  *Graceful*
[00000000] 1 | 2 6 1 7 0 3 4 5  *Graceful*
[00000000] 1 | 3 6 1 7 0 4 2 5  *Graceful*
[00000000] 1 | 3 6 1 7 0 4 5 2  *Graceful*
[00000000] 1 | 5 1 2 7 0 6 3 4  *Graceful*
[00000000] 1 | 5 1 2 7 0 6 4 3  *Graceful*
[00000000] 1 | 5 2 3 7 0 6 1 4  *Graceful*
[00000000] 1 | 2 4 3 7 0 6 1 3  *Graceful*
[00000000] 1 | 4 2 3 7 0 6 1 3  *Graceful*
[00000000] 1 | 3 5 4 7 0 6 1 2  *Graceful*
[00000000] 1 | 5 3 4 7 0 6 1 2  *Graceful*
[00000000] 1 | 5 2 3 7 0 6 4 1  *Graceful*
[00000000] 1 | 2 4 3 7 0 6 3 1  *Graceful*
[00000000] 1 | 4 2 3 7 0 6 3 1  *Graceful*
[00000000] 1 | 3 5 4 7 0 6 2 1  *Graceful*
[00000000] 1 | 5 3 4 7 0 6 2 1  *Graceful*
[00000000] 1 | 3 1 5 6 0 7 2 4  *Graceful*
