vertices. Vertex order,x,y
0,.0535,.56
1,.2816,.5636
2,.4973,.56
3,.697,.56
4,.8217,.3345
5,.9465,.1091
6,.8645,.8909
edges. Ei,Ej
0,1
1,2
2,3
3,4
3,6
4,5
graceful labels. l0,l1,...,ln
0,6,1,5,3,4,2,
6,0,5,1,3,2,4,
4,0,6,1,2,5,3,
3,0,6,1,2,4,5,
2,0,6,1,4,3,5,
2,6,0,5,4,1,3,
3,6,0,5,4,2,1,
4,6,0,5,2,3,1,
1,5,0,6,3,2,4,
4,5,0,6,3,1,2,
2,3,0,6,1,5,4,
5,1,6,0,3,4,2,
2,1,6,0,3,5,4,
4,3,6,0,5,1,2,
2,1,5,0,6,4,3,
1,2,4,0,6,3,5,
4,5,1,6,0,2,3,
5,4,2,6,0,3,1,
4,3,1,5,0,6,2,
3,4,2,5,0,6,1,
2,3,5,1,6,0,4,
3,2,4,1,6,0,5,
4,1,5,0,2,3,6,
2,3,5,0,4,1,6,
2,1,4,0,5,3,6,
1,3,4,0,5,2,6,
2,4,3,0,5,1,6,
4,2,3,0,5,1,6,
2,5,1,6,4,3,0,
4,3,1,6,2,5,0,
4,5,2,6,1,3,0,
5,3,2,6,1,4,0,
2,4,3,6,1,5,0,
4,2,3,6,1,5,0,
end
