vertices. Vertex order,x,y
0,.0506,.8413
1,.1855,.4603
2,.0556,.1587
3,.3879,.455
4,.6054,.4603
5,.8145,.4656
6,.9494,.1693
7,.9342,.8148
edges. Ei,Ej
0,1
1,2
1,3
3,4
4,5
5,6
5,7
graceful labels. l0,l1,...,ln
0,7,1,2,6,3,5,4,
0,7,1,2,6,3,4,5,
0,7,2,1,5,6,3,4,
0,7,2,1,5,6,4,3,
7,0,6,5,1,4,2,3,
7,0,6,5,1,4,3,2,
7,0,5,6,2,1,4,3,
7,0,5,6,2,1,3,4,
6,0,7,5,1,4,2,3,
6,0,7,5,1,4,3,2,
5,0,7,6,2,1,4,3,
5,0,7,6,2,1,3,4,
1,7,0,2,6,3,5,4,
1,7,0,2,6,3,4,5,
2,7,0,1,5,6,3,4,
2,7,0,1,5,6,4,3,
6,0,5,7,3,4,1,2,
6,0,5,7,3,4,2,1,
5,0,6,7,3,4,1,2,
5,0,6,7,3,4,2,1,
5,0,3,7,1,2,6,4,
5,0,3,7,1,2,4,6,
3,0,5,7,1,2,6,4,
3,0,5,7,1,2,4,6,
4,0,2,7,1,6,3,5,
4,0,2,7,1,6,5,3,
2,0,4,7,1,6,3,5,
2,0,4,7,1,6,5,3,
1,7,2,0,4,3,6,5,
1,7,2,0,4,3,5,6,
2,7,1,0,4,3,6,5,
2,7,1,0,4,3,5,6,
2,7,4,0,6,5,1,3,
2,7,4,0,6,5,3,1,
4,7,2,0,6,5,1,3,
4,7,2,0,6,5,3,1,
3,7,5,0,6,1,4,2,
3,7,5,0,6,1,2,4,
5,7,3,0,6,1,4,2,
5,7,3,0,6,1,2,4,
4,1,2,6,0,7,3,5,
2,1,4,6,0,7,3,5,
4,1,2,6,0,7,5,3,
2,1,4,6,0,7,5,3,
1,5,3,6,0,7,2,4,
3,5,1,6,0,7,2,4,
1,5,3,6,0,7,4,2,
3,5,1,6,0,7,4,2,
6,3,5,4,0,7,1,2,
5,3,6,4,0,7,1,2,
6,3,5,4,0,7,2,1,
5,3,6,4,0,7,2,1,
3,6,5,1,7,0,4,2,
5,6,3,1,7,0,4,2,
3,6,5,1,7,0,2,4,
5,6,3,1,7,0,2,4,
6,2,4,1,7,0,5,3,
4,2,6,1,7,0,5,3,
6,2,4,1,7,0,3,5,
4,2,6,1,7,0,3,5,
1,4,2,3,7,0,6,5,
2,4,1,3,7,0,6,5,
1,4,2,3,7,0,5,6,
2,4,1,3,7,0,5,6,
4,1,3,2,6,0,7,5,
3,1,4,2,6,0,7,5,
2,4,3,1,5,0,7,6,
3,4,2,1,5,0,7,6,
3,6,4,5,1,7,0,2,
4,6,3,5,1,7,0,2,
5,3,4,6,2,7,0,1,
4,3,5,6,2,7,0,1,
4,1,3,2,6,0,5,7,
3,1,4,2,6,0,5,7,
2,4,3,1,5,0,6,7,
3,4,2,1,5,0,6,7,
3,6,4,5,1,7,2,0,
4,6,3,5,1,7,2,0,
5,3,4,6,2,7,1,0,
4,3,5,6,2,7,1,0,
end
