vertices. Vertex order,x,y
0,.0674,.5152
1,.3596,.5189
2,.6427,.5114
3,.6382,.1136
4,.6539,.8864
5,.9326,.5152
edges. Ei,Ej
0,1
1,2
2,3
2,4
2,5
graceful labels. l0,l1,...,ln
0,5,1,4,3,2,
0,5,1,4,2,3,
0,5,1,3,4,2,
0,5,1,2,4,3,
0,5,1,3,2,4,
0,5,1,2,3,4,
5,0,4,1,2,3,
5,0,4,1,3,2,
5,0,4,2,1,3,
5,0,4,3,1,2,
5,0,4,2,3,1,
5,0,4,3,2,1,
2,4,0,5,3,1,
2,4,0,5,1,3,
1,2,0,5,4,3,
1,2,0,5,3,4,
3,1,5,0,2,4,
3,1,5,0,4,2,
4,3,5,0,1,2,
4,3,5,0,2,1,
2,4,0,3,5,1,
2,4,0,1,5,3,
1,2,0,4,5,3,
1,2,0,3,5,4,
3,1,5,2,0,4,
3,1,5,4,0,2,
4,3,5,1,0,2,
4,3,5,2,0,1,
2,4,0,3,1,5,
2,4,0,1,3,5,
1,2,0,4,3,5,
1,2,0,3,4,5,
3,1,5,2,4,0,
3,1,5,4,2,0,
4,3,5,1,2,0,
4,3,5,2,1,0,
end
