[00000000] 1 | 0 5 1 4 2 3  *Graceful*
[00000000] 1 | 0 5 1 4 3 2  *Graceful*
[00000000] 1 | 5 0 4 1 3 2  *Graceful*
[00000000] 1 | 5 0 4 1 2 3  *Graceful*
[00000000] 1 | 1 2 4 0 5 3  *Graceful*
[00000000] 1 | 2 1 3 0 5 4  *Graceful*
[00000000] 1 | 4 3 1 5 0 2  *Graceful*
[00000000] 1 | 3 4 2 5 0 1  *Graceful*
[00000000] 1 | 1 2 4 0 3 5  *Graceful*
[00000000] 1 | 2 1 3 0 4 5  *Graceful*
[00000000] 1 | 4 3 1 5 2 0  *Graceful*
[00000000] 1 | 3 4 2 5 1 0  *Graceful*
